이산화탄소(도로구간),,,,,,,,,,
- 기준년도 : 2023년,,,,,,,,,,
- 기간 : 평일,,,,,,,,,,
"- 지표 : 전체, 승용차, 버스, 트럭",,,,,,,,,,
- 권역범위 : 시도 시군구 / 읍면동,,,,,,,,,,
"- 도로등급 : 고속도로, 도시고속도로, 일반국도, 특별광역시도, 국가지원지방도, 지방도, 시군도, 연결로",,,,,,,,,,
5.5 LINK ID,ITS LINK ID,도로등급,도로명,권역,연장(km),차선수,전체,승용차,버스,트럭
1013702,"1160001601,1160001601,1160001605,1160001606,1160001603,1160001607,1160001608",일반국도,경인로,서울특별시 구로구,0.8210,6,7022693.777,4801494.696,1115067.870,1106131.211
1013703,"1160001507,1160001508,1160001503,1160001505,1160001506,1160001501,1160001501",일반국도,경인로,서울특별시 구로구,0.8210,6,8809286.350,5814524.365,1545472.840,1449289.146
1013704,"1160001302,1160001301,1160001301,1160001301,1160001301,1160001301,1160001301,1160001301,1160001301",일반국도,경인로,서울특별시 구로구,0.6340,6,5482184.588,3609604.054,844004.905,1028575.629
1013705,1160000501,일반국도,경인로,서울특별시 구로구,0.0190,6,114116.807,81375.584,13038.026,19703.198
1013706,1160000601,일반국도,경인로,서울특별시 구로구,0.0190,6,76608.254,53037.242,11363.178,12207.835
1013707,"1160036601,1160036601,1160030700,1160030700,1160027800,1160025400,1160023500,1160022700,1160022700,2130038000,2130033700",특별광역시도,개봉로,서울특별시 구로구,1.4410,6,8443719.114,5419236.573,1436448.798,1588033.743
1013709,"1160051300,1160051300",특별광역시도,남부순환로,서울특별시 구로구,0.3170,1,846066.848,622153.443,50887.198,173026.208
1013710,1160056200,특별광역시도,남부순환로,서울특별시 구로구,0.0470,1,106927.516,73652.539,8165.673,25109.304
1013711,"1160014202,1160014202,1160014202,1160014202,1160014203,1160014203,1160014204,1160014204,1160014205,1160014205,1160014205,1160014205,1160014205",특별광역시도,중앙로,서울특별시 구로구,0.7510,6,2828077.700,1909159.298,427984.647,490933.754
1013712,"1160014104,1160014104,1160014104,1160014104,1160014104,1160014103,1160014103,1160014102,1160014102,1160014101,1160014101,1160014101,1160014101",특별광역시도,중앙로,서울특별시 구로구,0.7510,6,3272398.253,2275832.804,451554.049,545011.399
1013721,1160041900,연결로,서부간선도로,서울특별시 구로구,0.0340,1,96111.518,78041.179,2921.651,15148.688
1013722,1160055600,일반국도,서부간선도로,서울특별시 구로구,0.5630,2,5253477.139,3802656.250,117207.297,1333613.592
1013723,1160002603,일반국도,서부간선도로,서울특별시 구로구,0.4860,2,4751663.069,3323875.471,122681.207,1305106.392
1013724,1160055700,일반국도,서부간선도로,서울특별시 구로구,0.6540,2,5689478.144,4089155.853,160391.408,1439930.884
1013727,1160001901,일반국도,경인로,서울특별시 구로구,0.0250,10,194534.820,127910.790,31365.195,35258.835
1013728,1160002001,일반국도,경인로,서울특별시 구로구,0.0250,10,293005.556,192221.574,46908.295,53875.688
1013729,"1160001901,1160001901,1160001901",일반국도,경인로,서울특별시 구로구,0.2260,10,2496233.641,1662175.037,419617.189,414441.415
1013730,"1160002001,1160002001,1160002001",일반국도,경인로,서울특별시 구로구,0.2260,10,2603490.367,1717861.204,404822.638,480806.525
1013731,"1160015801,1160015801",특별광역시도,안양천로,서울특별시 구로구,0.2870,1,343538.646,200051.322,16355.696,127131.629
1013772,1160051100,특별광역시도,경인로,서울특별시 구로구,0.0520,1,54536.578,34262.876,2952.205,17321.497
1013773,1160055800,특별광역시도,경인로,서울특별시 구로구,0.0510,1,128417.929,89077.432,11252.383,28088.115
1013776,"1160040200,1160040200,1160036602",특별광역시도,개봉로19길,서울특별시 구로구,0.1840,1,782991.880,464841.564,162564.871,155585.446
1013781,0,연결로,서부간선도로,서울특별시 구로구,0.0320,1,55304.561,47811.376,1455.910,6037.275
1013793,"1160000304,1160000304,1160000304,1160000305,1160000305,1160000302,1160000302,1160000302,1160000301,1160000301,1160000301,1160000100,2420191300,2420187700,2420187700,2420185200,2420185200",일반국도,경인로,서울특별시 구로구,1.3580,6,6641860.808,4511306.990,969969.446,1160584.373
1013794,1160001202,일반국도,서부간선도로,서울특별시 구로구,0.2580,2,2383380.339,1621121.879,64511.611,697746.850
1013795,1160049100,특별광역시도,안양천로,서울특별시 구로구,0.0370,6,221906.680,169140.950,8344.796,44420.934
1013796,1160049000,특별광역시도,안양천로,서울특별시 구로구,0.0370,6,229914.941,181688.918,8835.015,39391.008
1013797,1160061600,특별광역시도,안양천로,서울특별시 구로구,0.5190,4,3037926.798,2362150.422,73273.319,602503.058
1013798,1160061700,특별광역시도,안양천로,서울특별시 구로구,0.5190,4,2456809.174,1847346.215,58451.721,551011.238
1013820,"1160036400,1160036400",특별광역시도,경인로,서울특별시 구로구,0.1330,2,588368.465,444215.990,26868.529,117283.947
1013888,1160054300,특별광역시도,경인로,서울특별시 구로구,0.1010,1,227049.339,145791.781,19293.431,61964.127
1013909,1160007507,특별광역시도,경인로,서울특별시 구로구,0.1360,1,291605.999,190454.682,12249.753,88901.563
1013917,1160002401,일반국도,경인로,서울특별시 구로구,0.0350,8,328442.919,213435.881,60159.595,54847.442
1013918,1160002302,일반국도,경인로,서울특별시 구로구,0.0350,8,297436.496,179641.914,58485.089,59309.493
1013919,1160002001,일반국도,경인로,서울특별시 구로구,0.0190,10,156290.289,96217.414,30208.172,29864.703
1013920,1160001901,일반국도,경인로,서울특별시 구로구,0.0190,10,269314.165,180832.208,48266.584,40215.374
1013921,1160001103,연결로,서부간선도로,서울특별시 구로구,0.0280,1,122929.120,94020.207,7962.842,20946.072
1013924,"2130037300,2130037300,2130037300,2130037300",특별광역시도,가마산로,서울특별시 금천구,0.1770,6,890983.284,685749.917,39548.679,165684.687
1013939,1160001103,연결로,서부간선도로,서울특별시 구로구,0.0330,1,69886.960,52352.318,3356.779,14177.863
1013940,1160001103,연결로,서부간선도로,서울특별시 구로구,0.0130,1,68527.855,51926.284,4625.010,11976.560
1013946,2130048800,일반국도,서부간선도로,서울특별시 구로구,0.7920,2,9211198.759,6711003.888,238406.235,2261788.635
1013947,1160038500,연결로,서부간선도로,서울특별시 구로구,0.4000,1,2635532.575,2098207.399,79511.616,457813.560
1013948,"1160035000,1160033100",특별광역시도,구일로,서울특별시 구로구,0.1130,3,196678.250,158948.695,18220.790,19508.765
1013949,"1160034300,1160034300",특별광역시도,구일로,서울특별시 구로구,0.1130,3,576067.456,415506.870,39585.315,120975.272
1013950,"1160015701,1160015701,1160015701",특별광역시도,안양천로537길,서울특별시 구로구,0.4810,1,1221880.718,715403.037,46377.090,460100.589
1013957,1160061600,특별광역시도,안양천로,서울특별시 구로구,0.1930,5,1412027.259,1134610.021,32656.134,244761.103
1013958,1160061700,특별광역시도,안양천로,서울특별시 구로구,0.1930,5,886165.942,678152.573,21095.992,186917.377
1013959,1160052000,특별광역시도,경인로,서울특별시 구로구,0.1360,1,310175.307,198302.858,35446.868,76425.581
1013960,"1160007504,1160007504,1160007503,1160007502,1160007502",특별광역시도,오리로,서울특별시 구로구,0.3450,5,1411184.467,919109.377,148516.647,343558.443
1013961,"1160007602,1160007602,1160007603,1160007604,1160007604",특별광역시도,오리로,서울특별시 구로구,0.3450,5,1530311.877,1026947.564,180308.250,323056.064
1013962,"1160007605,1160007605,1160007606",특별광역시도,오리로,서울특별시 구로구,0.3220,4,1825489.763,1296148.847,92750.296,436590.620
1013963,"1160007506,1160007505,1160007505",특별광역시도,오리로,서울특별시 구로구,0.3220,4,2369712.140,1662095.842,143182.863,564433.436
1013964,"1160005003,1160005003,1160005003,1160007601,1160007602",특별광역시도,오리로,서울특별시 구로구,0.4440,6,1768161.611,1178433.145,188814.995,400913.471
1013965,"1160018403,1160018403,1160018403",특별광역시도,금오로,서울특별시 구로구,0.4830,5,700936.953,455618.523,63204.240,182114.190
1013966,"1160018304,1160018304,1160018304",특별광역시도,금오로,서울특별시 구로구,0.4830,5,883475.463,572708.837,165008.009,145758.617
1013967,1160009601,특별광역시도,남부순환로,서울특별시 구로구,0.8830,4,6589908.150,4840345.694,237221.981,1512340.475
1013968,1160009501,특별광역시도,남부순환로,서울특별시 구로구,0.8830,4,5310283.560,3618375.761,236548.360,1455359.439
1013985,1160002001,연결로,서부간선도로,서울특별시 구로구,0.0350,1,131827.247,106265.461,4075.390,21486.396
1013986,1160001203,연결로,서부간선도로,서울특별시 구로구,0.0090,2,32003.186,23214.939,2060.953,6727.294
1014014,1150088100,일반국도,개화동로,서울특별시 강서구,0.5000,2,4049972.455,2876670.669,201763.347,971538.440
1014019,"1150004003,1150004002,1150004001",특별광역시도,양천로,서울특별시 강서구,0.4710,4,1938435.789,1438952.992,96729.103,402753.694
1014020,"1150338500,1150338500,1150338300,1150016805,1150016805",특별광역시도,방화대로,서울특별시 강서구,0.6450,6,1944367.092,1391106.677,172220.596,381039.820
1014021,"1150016905,1150016905,1150338700,1150338800,1150338800",특별광역시도,방화대로,서울특별시 강서구,0.6450,6,2827297.868,2019655.416,343567.907,464074.546
1014023,1150019902,특별광역시도,강서로,서울특별시 강서구,0.2270,3,1139772.405,895926.200,37474.229,206371.975
1014024,"1150019803,1150019801",특별광역시도,강서로,서울특별시 강서구,0.1240,6,1163553.734,885546.961,63010.923,214995.850
1014025,"1150019901,1150019902",특별광역시도,강서로,서울특별시 강서구,0.1240,6,551577.534,432203.760,22797.198,96576.575
1014026,1150096700,연결로,올림픽대로,서울특별시 강서구,0.0850,1,536860.290,426956.940,29065.428,80837.922
1014027,1150110800,특별광역시도,강서로,서울특별시 강서구,0.0240,1,36589.403,21114.533,4093.659,11381.211
1014029,"1150018600,1150018600,1150018600,1150018600",특별광역시도,강서로,서울특별시 강서구,0.2870,6,2349281.527,1666582.008,254796.615,427902.906
1014030,"1150018700,1150018700,1150018700,1150018700",특별광역시도,강서로,서울특별시 강서구,0.2870,6,2147746.458,1613151.697,206211.351,328383.411
1014031,1150109000,특별광역시도,-,서울특별시 강서구,0.3890,5,1516872.486,979018.152,194477.938,343376.395
1014032,"1150108500,1150108500,1150108000",특별광역시도,-,서울특별시 강서구,0.2120,2,197442.983,133254.126,15775.325,48413.532
1014033,1150108300,특별광역시도,-,서울특별시 강서구,0.2780,1,265186.092,192103.508,11225.506,61857.078
1014034,1150108900,특별광역시도,-,서울특별시 강서구,0.0270,3,57800.237,24308.954,23644.868,9846.415
1014036,1150016702,일반국도,개화동로,서울특별시 강서구,0.2800,4,2601079.714,1742650.212,218321.920,640107.582
1014038,1150073700,특별광역시도,개화동로,서울특별시 강서구,0.4070,2,2084586.883,1427645.947,74248.846,582692.090
1014041,"1150057700,1150057700,1150012701,1150012701,1150012701,1150012701,1150012701,1150012701",특별광역시도,남부순환로,서울특별시 강서구,0.8270,4,4791070.647,3216450.113,412308.081,1162312.454
1014043,1150109700,특별광역시도,-,서울특별시 강서구,0.0240,2,18664.847,10738.725,3471.752,4454.369
1014044,"1150109600,1150109600,1150109600",특별광역시도,-,서울특별시 강서구,0.4130,1,489445.165,243298.852,107749.233,138397.080
1014046,"1150001402,1150001402,1150001401,1150001401,1150001802,1150001802,1150001802",일반국도,공항대로,서울특별시 강서구,1.1720,4,9039874.811,6560853.158,987046.227,1491975.427
1014047,"1150014302,1150014302,1150014302,1150014302,1150014303,1150014304,1150014304,1150014305,1150428800,1150429400,1150429400,1150017102,1150017103,1150017104,1150017104",특별광역시도,강서로,서울특별시 강서구,1.1240,6,5303339.700,3645246.925,800532.273,857560.502
1014048,"1150017004,1150017004,1150017003,1150017002,1150429100,1150429100,1150428700,1150014205,1150014204,1150014204,1150014203,1150014202,1150014202,1150014202,1150014202",특별광역시도,강서로,서울특별시 강서구,1.1240,6,5299976.276,3567278.732,704470.232,1028227.311
1014049,"1150012402,1150012402,1150012402,1150012402,1150012401,1150012401",특별광역시도,강서로,서울특별시 강서구,0.4140,6,2219496.518,1534729.874,284525.717,400240.928
1014050,"1150012501,1150012501,1150012502,1150012502,1150012502,1150012502",특별광역시도,강서로,서울특별시 강서구,0.4140,6,2076579.028,1443794.153,300204.751,332580.124
1014051,1150002301,도시고속도로,올림픽대로,서울특별시 강서구,0.8000,4,14996056.366,10769862.784,1110175.391,3116018.190
1014053,1150002404,도시고속도로,올림픽대로,서울특별시 강서구,1.0460,4,16632655.843,11389793.021,1388939.321,3853923.501
1014054,1150082400,연결로,올림픽대로,서울특별시 강서구,0.0580,2,297839.749,201997.786,22066.033,73775.930
1014055,"1150078200,1150078200",특별광역시도,화곡로,서울특별시 강서구,0.3090,2,1672638.725,1278019.243,83771.690,310847.791
1014058,1150022204,일반국도,방화대로,서울특별시 강서구,0.0480,8,158796.495,108229.799,7888.461,42678.235
1014059,1150053000,일반국도,방화대로,서울특별시 강서구,0.0480,8,176820.052,112814.537,12176.604,51828.912
1014060,"1150054500,1150054500,1150054500,1150056000",특별광역시도,남부순환로,서울특별시 강서구,0.3390,2,947426.444,574373.411,133192.923,239860.110
1014061,1150063800,특별광역시도,화곡로,서울특별시 강서구,0.1700,1,511740.714,294300.221,94708.597,122731.898
1014064,1150064700,특별광역시도,공항대로,서울특별시 강서구,0.1620,1,381841.758,287982.053,16870.401,76989.304
1014071,1150012203,특별광역시도,화곡로,서울특별시 강서구,0.1030,6,775475.836,522986.021,124985.405,127504.410
1014072,1150012303,특별광역시도,화곡로,서울특별시 강서구,0.1030,6,1187111.329,842247.397,172855.076,172008.856
1014073,1150001404,일반국도,공항대로,서울특별시 강서구,0.0770,4,323381.897,231090.508,34717.977,57573.412
1014076,1150001405,일반국도,공항대로,서울특별시 강서구,0.0500,4,229641.543,166553.641,24451.521,38636.382
1014077,1150106300,특별광역시도,화곡로,서울특별시 강서구,0.1370,1,214356.442,135525.903,21071.403,57759.135
1014079,1150013206,특별광역시도,화곡로,서울특별시 강서구,0.0350,6,308713.191,216947.243,38757.726,53008.222
1014080,1150013301,특별광역시도,화곡로,서울특별시 강서구,0.0350,6,243686.914,177867.363,22126.850,43692.702
1014082,"1150061300,1150061300",특별광역시도,공항대로,서울특별시 강서구,0.1880,2,684672.746,537587.168,45618.831,101466.747
1014083,"1150012202,1150012201",특별광역시도,화곡로,서울특별시 강서구,0.1960,6,1648504.675,1119675.203,260099.623,268729.850
1014094,"1150010102,1150010102,1150010102,1150010102,1150010102,1150010103,1150010103",특별광역시도,화곡로,서울특별시 강서구,0.7050,6,4288632.678,2914537.395,618919.692,755175.592
1014095,"1150010003,1150010003,1150010002,1150010002,1150010002,1150010002,1150010002",특별광역시도,화곡로,서울특별시 강서구,0.7050,6,5471348.011,3779556.378,734677.475,957114.158
1014114,"1140038000,1140038000,1140038000,2420192100,2420189100,2420189100",특별광역시도,화곡로,서울특별시 양천구,0.5380,6,2105173.527,1385006.580,318273.787,401893.159
1014145,1140023301,특별광역시도,남부순환로,서울특별시 양천구,0.1000,3,821444.105,585511.138,64082.965,171850.002
1014147,1140060700,특별광역시도,국회대로,서울특별시 양천구,0.2400,1,582911.024,405717.476,21042.794,156150.754
1014150,1140017103,특별광역시도,남부순환로,서울특별시 양천구,0.2030,3,1811689.469,1275919.087,142319.241,393451.142
1014155,"1150435800,1140026301",특별광역시도,강서로5길,서울특별시 강서구,0.0740,1,390480.173,301247.985,24125.393,65106.796
1014156,1140063000,특별광역시도,중앙로,서울특별시 강서구,0.2950,4,941300.250,657423.879,112470.744,171405.627
1014157,1140063100,특별광역시도,중앙로,서울특별시 강서구,0.2950,4,1427687.390,1001338.167,166272.013,260077.211
1014158,1150435900,특별광역시도,강서로,서울특별시 강서구,0.0420,4,293915.885,218343.481,33647.841,41924.563
1014159,1150436000,특별광역시도,강서로,서울특별시 강서구,0.0420,4,232567.826,171501.131,25261.611,35805.083
1014160,1150022800,특별광역시도,국회대로,서울특별시 강서구,0.0640,1,178021.004,138731.932,5557.116,33731.957
1014161,1140026301,특별광역시도,강서로5길,서울특별시 강서구,0.0410,2,275534.860,223409.154,18615.438,33510.268
1014162,1140020802,특별광역시도,중앙로,서울특별시 양천구,0.0850,1,155542.121,112698.652,4470.687,38372.782
1014163,"1140020701,1140020701,1140020701",특별광역시도,중앙로,서울특별시 양천구,0.3110,6,2170752.828,1591897.765,225475.036,353380.027
1014164,"1140016001,1140016001,1140016001,1140016002,1140016002",특별광역시도,중앙로,서울특별시 양천구,0.3550,6,2269942.810,1607239.894,322511.068,340191.848
1014165,"1140026401,1150435700",특별광역시도,강서로5길,서울특별시 강서구,0.1260,1,359693.426,258620.379,22726.614,78346.433
1014166,1140041103,특별광역시도,국회대로,서울특별시 강서구,0.0280,3,326416.305,213909.489,11519.209,100987.607
1014167,1140041103,특별광역시도,국회대로,서울특별시 양천구,0.0410,1,86295.923,80544.603,4751.116,1000.203
1014168,1140041003,특별광역시도,국회대로,서울특별시 양천구,0.0410,3,219709.180,159986.935,9275.217,50447.028
1014169,1140041003,특별광역시도,국회대로,서울특별시 양천구,0.0210,3,118143.738,85476.335,4835.135,27832.268
1014170,1140063400,특별광역시도,중앙로,서울특별시 양천구,0.0720,1,114151.772,83726.050,3009.695,27416.026
1014171,"1140012300,1140012300,1140012300,1140006503,1140006502,1140006502,1140006502,1140006502,1140006502,1140006501,1140006501",특별광역시도,중앙로,서울특별시 양천구,0.8810,6,3828877.263,2795042.484,379924.312,653910.467
1014172,"1140015903,1140015903,1140015902,1140015902,1140015902",특별광역시도,중앙로,서울특별시 양천구,0.3550,6,1910442.881,1363358.078,243457.492,303627.311
1014173,"1140024202,1140024202,1140024203,1140024203,1140024203,1140024204",특별광역시도,목동로,서울특별시 양천구,0.3890,6,3594278.976,2517021.862,466243.078,611014.037
1014174,"1140018100,1140018100,1140018100,1140018100,1140018100,1140018100",특별광역시도,목동로,서울특별시 양천구,0.4110,6,2404913.267,1624739.521,340963.091,439210.655
1014175,"1140018201,1140018201,1140018201,1140018201,1140018201,1140018201",특별광역시도,목동로,서울특별시 양천구,0.4110,6,2903737.051,2006620.525,403101.685,494014.842
1014176,"1140001601,1140001602,1140001602",특별광역시도,목동로,서울특별시 양천구,0.1900,7,1386626.475,1038398.589,116584.052,231643.834
1014177,"1140015500,1140015500,1140015500,1140015500,1140015500,1140014905,1140014905,1140014906,1140014906,1140014907,1140014907,1140014907,1140014903,1140014902,1140014901,1140014901",특별광역시도,신월로,서울특별시 양천구,1.1560,6,5788967.784,3963931.908,676672.765,1148363.111
1014178,"1140015001,1140015001,1140015002,1140015003,1140015006,1140015006,1140015006,1140015007,1140015007,1140015005,1140015005,1140015600,1140015600,1140015600,1140015600,1140015600",특별광역시도,신월로,서울특별시 양천구,1.1560,6,5704444.636,3834972.173,806835.627,1062636.835
1014179,"1140041304,1140041303,1140041303,1140041302,1140041302,1140041301,1140041301,1140024902",특별광역시도,국회대로,서울특별시 양천구,1.2770,2,16732310.029,12512440.960,632752.686,3587116.383
1014180,"1140024103,1140024102,1140024102,1140024102,1140024101,1140024101",특별광역시도,목동로,서울특별시 양천구,0.3890,6,2921960.857,1996226.869,435192.374,490541.614
1014216,1140046300,특별광역시도,안양천로,서울특별시 양천구,0.4560,4,2556441.776,2000652.387,60824.197,494965.193
1014217,1140046400,특별광역시도,안양천로,서울특별시 양천구,0.4560,4,1797955.705,1313606.627,53159.426,431189.652
1014218,1140042200,특별광역시도,안양천로,서울특별시 양천구,0.1150,6,490176.899,368977.932,17526.946,103672.021
1014219,1140042100,특별광역시도,안양천로,서울특별시 양천구,0.1150,6,682337.022,540568.842,19859.883,121908.298
1014239,"1150004800,1150004800,1150004800,1150102900,1150102900,1150102900",일반국도,김포대로,서울특별시 강서구,0.6150,4,3072317.646,2054285.180,314556.542,703475.923
1014248,1150066500,특별광역시도,하늘길,서울특별시 강서구,0.0700,3,297456.418,208646.805,26920.985,61888.628
1014252,"1150435900,1150435900",특별광역시도,강서로,서울특별시 강서구,0.1470,6,1623728.094,1200234.140,199298.121,224195.833
1014259,1150022400,연결로,인천국제공항고속도로,서울특별시 강서구,1.0200,2,3874316.078,2483043.547,415399.847,975872.683
1014272,"1150014701,1150014701",일반국도,공항대로,서울특별시 강서구,0.0670,8,524708.114,360722.617,77439.247,86546.250
1014273,"1150014601,1150014601",일반국도,공항대로,서울특별시 강서구,0.0670,8,692213.855,494946.227,112139.865,85127.763
1014274,1140001601,특별광역시도,목동로,서울특별시 양천구,0.0300,7,233302.619,170756.487,19815.788,42730.345
1014275,1140001501,특별광역시도,목동로,서울특별시 양천구,0.0300,7,140592.670,104455.564,12664.810,23472.296
1014276,"1140002401,1140002401",특별광역시도,안양천로,서울특별시 양천구,0.2700,1,673875.883,436674.106,41643.735,195558.042
1014277,"1140044100,1140044100,1160017300",특별광역시도,목동로,서울특별시 양천구,0.2970,7,1684067.697,1233869.194,146135.489,304063.015
1014278,"1160017400,1140044200,1140044200",특별광역시도,목동로,서울특별시 양천구,0.2970,7,2589241.649,1917633.787,229350.437,442257.426
1014282,1150087200,특별광역시도,초원로,서울특별시 강서구,0.0310,4,149028.262,123033.954,10231.488,15762.821
1014283,1150087300,특별광역시도,초원로,서울특별시 강서구,0.0310,4,63719.623,44561.141,3333.897,15824.584
1014289,1150014601,일반국도,공항대로,서울특별시 강서구,0.0270,8,141703.513,92347.582,25539.107,23816.823
1014290,1150107400,일반국도,공항대로,서울특별시 강서구,0.0270,8,99990.305,59359.205,19465.679,21165.421
1014293,"1150086300,1150086500,1150018100",특별광역시도,초원로,서울특별시 강서구,0.4320,2,1254697.143,940769.069,46639.968,267288.106
1014294,1150004401,연결로,인천국제공항고속도로,서울특별시 강서구,1.9560,1,5553090.138,3428359.358,472150.643,1652580.137
1014295,1150004302,일반국도,인천국제공항고속도로,서울특별시 강서구,0.0100,5,53281.648,38613.014,3460.795,11207.839
1014296,1150004402,일반국도,인천국제공항고속도로,서울특별시 강서구,0.0100,5,27624.142,15903.458,2963.758,8756.926
1014298,1140080700,특별광역시도,중앙로,서울특별시 양천구,0.0870,1,167801.056,98301.057,7774.534,61725.465
1014299,1140063700,특별광역시도,국회대로,서울특별시 양천구,0.0840,1,165621.756,127094.070,4501.663,34026.022
1014300,"1140043600,1140043600",특별광역시도,안양천로,서울특별시 양천구,0.3550,1,953382.707,605361.019,32430.230,315591.458
1014301,1140026401,특별광역시도,강서로5길,서울특별시 강서구,0.0310,1,51957.632,33703.196,5159.700,13094.737
1014302,1140026301,특별광역시도,강서로5길,서울특별시 강서구,0.0080,2,47770.661,40194.458,1897.789,5678.415
1014303,1140026401,특별광역시도,강서로5길,서울특별시 강서구,0.0330,2,59043.404,45116.181,4674.114,9253.110
1014370,1140041103,특별광역시도,국회대로,서울특별시 강서구,0.0240,3,285549.998,187125.612,10084.686,88339.700
1014371,1140041401,특별광역시도,국회대로,서울특별시 강서구,0.0440,2,98759.994,77032.432,3634.858,18092.704
1014372,1140026401,특별광역시도,강서로5길,서울특별시 강서구,0.0090,2,19215.380,15794.686,606.702,2813.992
1014373,1140041103,특별광역시도,국회대로,서울특별시 강서구,0.0280,3,357865.698,233906.426,12719.314,111239.957
1014374,1150109900,특별광역시도,-,서울특별시 강서구,0.2600,2,912014.801,615542.024,103986.219,192486.558
1014375,1150097200,연결로,올림픽대로,서울특별시 강서구,0.0880,1,288939.691,223097.574,8442.258,57399.857
1014376,1150004501,도시고속도로,올림픽대로,서울특별시 강서구,0.1580,4,3072980.861,2182217.962,232575.775,658187.123
